State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Price_Spread,PSR,Price_Premium,CV,Norm_Premium,PSR_Band,Risk_Tier,SCFI
Uttarakhand,Haridwar,Roorkee APMC,Carrot,Other,Medium,2026-03-19,650.0,820.0,750.0,170.0,0.22666666666666666,100.0,22.666666666666664,0.13333333333333333,Inefficient,High Risk,60.71068783360094
Uttarakhand,Haridwar,Roorkee APMC,Banana,Other,Medium,2026-03-19,800.0,1200.0,1000.0,400.0,0.4,200.0,40.0,0.2,Highly Inefficient,High Risk,45.6556694447222
Punjab,Mohali,Kharar APMC,Pumpkin,Other,Local,2026-03-19,2000.0,2500.0,2200.0,500.0,0.22727272727272727,200.0,22.727272727272727,0.09090909090909091,Inefficient,High Risk,31.900645421079144
Punjab,Mohali,Kharar APMC,Onion,Other,Non-FAQ,2026-03-19,1500.0,2000.0,1800.0,500.0,0.2777777777777778,300.0,27.77777777777778,0.16666666666666666,Inefficient,High Risk,31.621910211303074
Punjab,Mohali,Kharar APMC,Capsicum,Capsicum,Local,2026-03-19,4000.0,5000.0,4500.0,1000.0,0.2222222222222222,500.0,22.22222222222222,0.1111111111111111,Inefficient,Moderate Risk,37.78151839557135
Punjab,Mohali,Kharar APMC,Cabbage,Cabbage,Local,2026-03-19,400.0,600.0,500.0,200.0,0.4,100.0,40.0,0.2,Highly Inefficient,High Risk,56.20405997363318
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Banana,Banana-Organic,Local,2026-03-19,1500.0,2100.0,1800.0,600.0,0.3333333333333333,300.0,33.33333333333333,0.16666666666666666,Inefficient,High Risk,45.6556694447222
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Water Melon,Water Melon,Local,2026-03-19,1000.0,1500.0,1200.0,500.0,0.4166666666666667,200.0,41.66666666666667,0.16666666666666666,Highly Inefficient,High Risk,34.99480473050246
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Green Chilli,Green Chilly,Local,2026-03-19,5500.0,7500.0,6500.0,2000.0,0.3076923076923077,1000.0,30.76923076923077,0.15384615384615385,Inefficient,High Risk,44.41987557127652
Gujarat,Navsari,Bilimora APMC,Brinjal,Other,FAQ,2026-03-19,1000.0,1500.0,1200.0,500.0,0.4166666666666667,200.0,41.66666666666667,0.16666666666666666,Highly Inefficient,High Risk,39.91631555343066
Gujarat,Patan,Chansama APMC,Cotton,Cotton (Ginned),Local,2026-03-19,6555.0,6555.0,6555.0,0.0,0.0,0.0,0.0,0.0,Efficient,Moderate Risk,34.51083131798788
